keyword,title,url,abstract,authors,citations_list
deep learning,Deep Learning Based Content Recognition for News Images and Videos,https://ieeexplore.ieee.org/document/10873123/,"The popularization of mobile Internet represented by 5G has led to the increasing diversification of news content dissemination, and news images and videos have become one of the main carriers of information dissemination. However, the explosive growth in the number of news images and videos makes how to efficiently and accurately recognize their contents a major challenge for the news industry. T...","Xue Lin, Xuejiao Ren",[]
deep learning,"EXPANSE, A Continual Deep Learning System; Research Proposal",https://ieeexplore.ieee.org/document/9799105/,"The final goal of the Artificial Intelligence community is to achieve Artificial General Intelligence, a human level of intelligence with precision, persistence, and processing speed of computers. As humans, we have the ability to progress via continual [::learning::]. We always add a skill on top of our past [::learned::] skills. [::Deep::] transfer [::learning::], followed by progressive [::lear...","Mohammadreza Iman, Khaled Rasheed, Hamid R. Arabnia",[]
deep learning,Deep-ReAP: Deep Representations And Partial label learning for Multi-pathology Classification,https://ieeexplore.ieee.org/document/9630244/,"Automated detection of pathology in images with multiple pathologies is one of the most challenging problems in medical diagnostics. The primary hurdles for automated systems include data imbalance across pathology categories and structural variations in pathological manifestations across patients. In this work, we present a novel method to detect a minimal dataset to train [::deep::] [::learning:...",Sohini Roychowdhury,[]
deep learning,Deep Reinforcement Learning algorithms for Low Latency Edge Computing Systems,https://ieeexplore.ieee.org/document/10134928/,"Nowadays, due to the increase of technological development in smart devices, more computational capabilities are needed with better performance. The maximization of the cloud computing resources used in mobile networks and Internet of Things makes good results. The data processing along with delay in the communication network will be easily handled by edge computing technology. The edge server bro...","K. Kumaran, E. Sasikala",[]
deep learning,Deep Learning in Intrusion Detection Systems,https://ieeexplore.ieee.org/document/8625278/,"In recent years, due to the emergence of boundless communication paradigm and increased number of networked digital devices, there is a growing concern about cybersecurity which tries to preserve either the information or the communication technology of the system. Intruders discover new attack types day by day, therefore to prevent these attacks firstly they need to be identified correctly by the...","Gozde Karatas, Onder Demir, Ozgur Koray Sahingoz",[]
deep learning,Improving Inertial-Based UAV Localization using Data-Efficient Deep Reinforcement Learning,https://ieeexplore.ieee.org/document/10289910/,"Precise localization is a critical task for many Unmanned Aerial Vehicle (UAV)-based applications. Inertial-based navigation, which relies on Inertial Measurement Units (IMUs), is extensively used to this end, due to its low-cost and small footprint. However, IMU-based localization leads to accumulating significant localization errors. To overcome this limitation, in this paper we propose a data-e...","Dimitrios Tsiakmakis, Nikolaos Passalis, Anastasios Tefas",[]
deep learning,Classification of Grapevine Leaf Images with Deep Learning Ensemble Models,https://ieeexplore.ieee.org/document/10165757/,"Grape is a fruit with high nutritional value, and its uses are also very extensive, which can be used for brewing and eating. There are many varieties of grapes, and how to identify grape varieties based on the morphology of their leaves is of great significance for grape reproduction and variety evolution. This article takes the leaves of different grape varieties at maturity as the research obje...",Qingcong Lv,[]
deep learning,Application of deep learning to distinguish multiple deep brain stimulation parameter configurations for the treatment of Parkinson’s disease,https://ieeexplore.ieee.org/document/9356388/,[::Deep::] brain stimulation offers the opportunity for patient specific and optimally tuned treatment to ameliorate Parkinson&#39;s disease. Imperative for the efficacy of [::deep::] brain stimulation is the quantification of therapeutic response. The implementation of inertial sensor systems has considerably augmented the acuity of quantifying the characteristics of the movement disorder through the...,"Robert LeMoyne, Timothy Mastroianni, Donald Whiting, Nestor Tomycz",[]
deep learning,A Survey of Optimized Compiler Using Advanced Machine learning and Deep Learning Techniques,https://ieeexplore.ieee.org/document/10871813/,"Optimizing compilers is a difficult and time-consuming task, especially when done by hand. As far as we know, the compiler handles both translation and optimization. An efficient compiler system can become more automated and simple, as evidenced by recent studies using [::deep::] [::learning::] and machine [::learning::] approaches. Model training, prediction, optimization, and feature selection a...","Lal Bahadur Pandey, Manisha Sharma, Rajesh Tiwari, Radhe Shyam Panda, Partha Roy",[]
deep learning,"A Survey on Attacks and Their Countermeasures in Deep Learning: Applications in Deep Neural Networks, Federated, Transfer, and Deep Reinforcement Learning",https://ieeexplore.ieee.org/document/10288459/,"[::Deep::] [::Learning::] (DL) techniques are being used in various critical applications like self-driving cars. DL techniques such as [::Deep::] Neural Networks (DNN), [::Deep::] Reinforcement [::Learning::] (DRL), Federated [::Learning::] (FL), and Transfer [::Learning::] (TL) are prone to adversarial attacks, which can make the DL techniques perform poorly. Developing such attacks and their co...","Haider Ali, Dian Chen, Matthew Harrington, Nathaniel Salazar, Mohannad Al Ameedi, Ahmad Faraz Khan, Ali R. Butt, Jin-Hee Cho",[]
deep learning,Using deep learning models to predict student performance in introductory computer programming courses,https://ieeexplore.ieee.org/document/9853747/,"This study used [::deep::] [::learning::] techniques with Moodle log data to predict student performance in introductory computer programming courses. Particularly, this study would like to use prediction results to identify potential low-performing students who may need assistance from teachers. The results suggested that [::deep::] [::learning::] models are promising to predict student performan...","Yueh-Hui Vanessa Chiang, Ying-Ru Lin, Nian-Shing Chen",[]
deep learning,An Interpretable and Accurate Deep-Learning Diagnosis Framework Modeled With Fully and Semi-Supervised Reciprocal Learning,https://ieeexplore.ieee.org/document/10225391/,"The deployment of automated [::deep::]-[::learning::] classifiers in clinical practice has the potential to streamline the diagnosis process and improve the diagnosis accuracy, but the acceptance of those classifiers relies on both their accuracy and interpretability. In general, accurate [::deep::]-[::learning::] classifiers provide little model interpretability, while interpretable models do not...","Chong Wang, Yuanhong Chen, Fengbei Liu, Michael Elliott, Chun Fung Kwok, Carlos Peña-Solorzano, Helen Frazer, Davis James McCarthy, Gustavo Carneiro",[]
